id,closed_at,created_at,created_at_est,number,test,total_price,subtotal_price,total_weight,total_tax,taxes_included,currency,financial_status,confirmed,total_discounts,total_line_items_price,cancelled_at,cancel_reason,total_price_usd,reference,user_id,location_id,source_identifier,source_url,processed_at,device_id,customer_locale,app_id,browser_ip,landing_site_ref,order_number,discount_code,discount_amount,discount_type,payment_gateway_names,processing_method,checkout_id,source_name,fulfillment_status,tags,variant_id,title,quantity,price,sku,variant_title,vendor,fulfillment_service,product_id,requires_shipping,taxable,gift_card,name,product_exists,fulfillable_quantity,customer_country,customer_state,customer_city,customer_zip,shipping_code,orders_count,user_agent
192126844941,2018-02-02 14:30:33,2018-01-30 23:51:10,2018-01-30 18:51:10-05:00,256157,False,43.99,34.00,150,0.00,False,USD,paid,True,0.00,34.00,,,43.99,,,,,,2018-01-30 23:51:10,,en,580111,118.211.238.137,,257157,0,0,Blank,['stripe'],direct,379827388429,web,fulfilled,,36474848013,Throne of Glass,1,34.00,glasssolid_tee_unisex,Unisex,Litographs,manual,9743739597,True,True,False,Throne of Glass - Unisex,True,0,Australia,Northern Territory,Darwin,0801,Asendia (Delivery 15-30 days after Estimated Ship Date),1,"Mozilla/5.0 (Linux; Android 8.0.0; ONEPLUS A3003 Build/OPR6.170623.013) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.123 Mobile Safari/537.36"
192107282445,2018-02-02 08:30:36,2018-01-30 23:31:09,2018-01-30 18:31:09-05:00,256156,False,43.99,39.00,150,0.00,False,USD,paid,True,0.00,39.00,,,43.99,,,,,,2018-01-30 23:31:09,,en,580111,24.196.40.192,,257156,0,0,Blank,['stripe'],direct,380025045005,web,fulfilled,,25457486465,Alice's Adventures in Wonderland,1,39.00,alice_scarf_inf,Infinity,Litographs,manual,7833278529,True,True,False,Alice's Adventures in Wonderland - Infinity,True,0,United States,Wisconsin,Sheboygan Falls,53085,USPS First Class (Delivery 3-5 days after Estimated Ship Date),1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7"
192097255437,2018-02-02 08:30:35,2018-01-30 23:20:39,2018-01-30 18:20:39-05:00,256155,False,4.99,0.00,150,0.00,False,USD,paid,True,49.00,49.00,,,4.99,,,,,,2018-01-30 23:20:39,,en,580111,160.39.155.48,,257155,W9KF4S5776R7,49.00,fixed_amount,['stripe'],direct,379998076941,web,fulfilled,,27773941953,Custom Scarf,1,49.00,custom_scarf_inf,Infinity / Single Scarf,Litographs,manual,8288574337,True,True,False,Custom Scarf - Infinity / Single Scarf,True,0,United States,Ohio,CIncinnati,45206,USPS First Class (Delivery 3-5 days after Estimated Ship Date),4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.119 Safari/537.36"
192059441165,2018-02-02 02:30:51,2018-01-30 22:42:46,2018-01-30 17:42:46-05:00,256154,False,73.00,73.00,301,0.00,False,USD,paid,True,0.00,73.00,,,73.00,,,,,,2018-01-30 22:42:46,,en,580111,73.77.219.177,,257154,0,0,Blank,['stripe'],direct,379919138829,web,fulfilled,,25505668289,Pi,1,34.00,pi_tee_unisex,Unisex,Litographs,manual,425610977,True,True,False,Pi - Unisex,True,0,United States,Texas,Houston,77064,USPS First Class (Delivery 3-5 days after Estimated Ship Date),1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299"
192057868301,2018-02-02 08:30:37,2018-01-30 22:41:14,2018-01-30 17:41:14-05:00,256153,False,33.99,29.00,454,0.00,False,USD,paid,True,0.00,29.00,,,33.99,,,,,,2018-01-30 22:41:14,,en,580111,69.123.126.115,,257153,0,0,Blank,['stripe'],direct,379912454157,web,fulfilled,,25476387393,The Autobiography of Benjamin Franklin,1,29.00,franklin_tote,,Litographs,manual,151546479,True,True,False,The Autobiography of Benjamin Franklin,True,0,United States,Connecticut,Norwalk,06850,USPS First Class (Delivery 3-5 days after Estimated Ship Date),3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/603.2.5 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.5"
192024739853,2018-02-02 14:30:42,2018-01-30 22:09:29,2018-01-30 17:09:29-05:00,256152,False,43.99,34.00,150,0.00,False,USD,paid,True,0.00,34.00,,,43.99,,,,,,2018-01-30 22:09:29,,en,580111,88.20.134.179,,257152,0,0,Blank,['stripe'],direct,378871021581,web,fulfilled,,25506773953,The Little Prince,1,34.00,littleprince_tee_vneck,Women's V-Neck,Litographs,manual,7168153537,True,True,False,The Little Prince - Women's V-Neck,True,0,Spain,Madrid,Madrid,28039,Asendia (Delivery 15-30 days after Estimated Ship Date),2,"Mozilla/5.0 (Linux; Android 8.1.0; Pixel 2 XL Build/OPM1.171019.013) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.123 Mobile Safari/537.36"
192009207821,2018-02-01 22:30:37,2018-01-30 21:55:30,2018-01-30 16:55:30-05:00,256151,False,71.15,68.00,301,3.15,False,USD,paid,True,0.00,68.00,,,71.15,,,,,,2018-01-30 21:55:30,,en,580111,173.52.117.224,,257151,0,0,Blank,['stripe'],direct,379804385293,web,fulfilled,,25505668673,Pi,1,34.00,pi_tee_women,Women's Crew,Litographs,manual,425610977,True,True,False,Pi - Women's Crew,True,0,United States,New York,Lake Grove,11755-2242,USPS First Class (Delivery 3-5 days after Estimated Ship Date),1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
191977586701,2018-02-02 14:30:47,2018-01-30 21:26:01,2018-01-30 16:26:01-05:00,256150,False,75.92,73.00,301,2.92,False,USD,paid,True,0.00,73.00,,,75.92,,,,,,2018-01-30 21:26:01,,en,580111,72.224.137.32,,257150,0,0,Blank,['stripe'],direct,379673837581,web,fulfilled,,28347533057,The Sun Also Rises,1,39.00,sun_scarf_inf,Infinity,Litographs,manual,8416590081,True,True,False,The Sun Also Rises - Infinity,True,0,United States,New York,Brainard,12024,USPS First Class (Delivery 3-5 days after Estimated Ship Date),1,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_5 like Mac OS X) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0 Mobile/15D60 Safari/604.1"
191963693069,2018-02-02 02:30:46,2018-01-30 21:13:36,2018-01-30 16:13:36-05:00,256149,False,68.00,68.00,301,0.00,False,USD,paid,True,0.00,68.00,,,68.00,,,,,,2018-01-30 21:13:36,,en,580111,168.184.244.107,,257149,0,0,Blank,['stripe'],direct,379712602125,web,fulfilled,,25507513217,Wonder,1,34.00,wonder_tee_vneck,Women's V-Neck,Litographs,manual,417787797,True,True,False,Wonder - Women's V-Neck,True,0,United States,Florida,Orlando,32803,USPS First Class (Delivery 3-5 days after Estimated Ship Date),1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
191944392717,2018-02-02 01:30:40,2018-01-30 20:56:50,2018-01-30 15:56:50-05:00,256148,False,68.00,68.00,301,0.00,False,USD,paid,True,0.00,68.00,,,68.00,,,,,,2018-01-30 20:56:50,,en,580111,49.180.72.109,,257148,0,0,Blank,['stripe'],direct,379676786701,web,fulfilled,,35298940301,Macbeth,1,34.00,macbethsolid_tee_unisex,Unisex,Litographs,manual,9531662989,True,True,False,Macbeth - Unisex,True,0,United States,Virginia,Newport News,23601,USPS First Class (Delivery 3-5 days after Estimated Ship Date),1,"Mozilla/5.0 (Linux; Android 7.0; SM-G950F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.123 Mobile Safari/537.36"
