id,order_id,created_at,created_at_est,_sku,name,price,quantity,title,variant_title,total_discount,fulfillable_quantity,fulfillment_status,gift_card,grams,product_exists,product_id,_inventory,requires_shipping,sku,tax_lines,taxable,variant_id,variant_inventory_management,vendor,estimated_ship_date,_inventory_source,test,total_tax,financial_status,cancelled_at,order_discount_amount,country,state,city,zip_code,orders_count
357628936205,193386217485,2018-01-31 23:50:33,2018-01-31 18:50:33-05:00,clerks_tote_bw,Clerks,29.00,1,Clerks,,0.00,0,fulfilled,False,454,True,3618291201,false,True,clerks_tote,[],True,25501220481,,Litographs,,,False,0.00,paid,,0,United States,Pennsylvania,Philadelphia,19125,1
357619728397,193381171213,2018-01-31 23:45:40,2018-01-31 18:45:40-05:00,lesmis2_12x16_red,Les Misérables - 12x16 Matted,19.00,1,Les Misérables,12x16 Matted,0.00,0,fulfilled,False,227,True,8590658253,false,True,lesmis2_12x16,[],True,29391461261,,Litographs,,,False,0.00,paid,,19.00,United States,Pennsylvania,Meadville,16335,4
357619761165,193381171213,2018-01-31 23:45:40,2018-01-31 18:45:40-05:00,pride_12x16_limegreen,Pride and Prejudice - 12x16 Matted,19.00,1,Pride and Prejudice,12x16 Matted,0.00,0,fulfilled,False,227,True,95629840,false,True,pride_12x16,[],True,25510984833,,Litographs,,,False,0.00,paid,,19.00,United States,Pennsylvania,Meadville,16335,4
357616713741,193379500045,2018-01-31 23:43:57,2018-01-31 18:43:57-05:00,tempest_tee_unisex_l_bw,The Tempest - Unisex,34.00,1,The Tempest,Unisex,0.00,0,fulfilled,False,150,True,151550085,false,True,tempest_tee_unisex,[],True,25507160577,,Litographs,,,False,0.00,paid,,0,United States,Kentucky,Pikeville,41501,1
357589942285,193367179277,2018-01-31 23:32:04,2018-01-31 18:32:04-05:00,default_grabbag_tee_unisex_xl,T-shirt Grab Bag - Unisex / XL,17.00,1,T-shirt Grab Bag,Unisex / XL,0.00,0,fulfilled,False,150,True,8644745037,true,True,default_grabbag_tee_unisex_xl,[],False,29613106893,shopify,Litographs,,default,False,0.00,paid,,0,United States,Utah,PLEASANT GROVE,84062-3722,2
357589975053,193367179277,2018-01-31 23:32:04,2018-01-31 18:32:04-05:00,sherlocksolid_tee_unisex_xl_mono_brown,The Adventures of Sherlock Holmes - Unisex,34.00,1,The Adventures of Sherlock Holmes,Unisex,0.00,0,fulfilled,False,150,True,9534911245,false,True,sherlocksolid_tee_unisex,[],True,35311065293,,Litographs,,,False,0.00,paid,,0,United States,Utah,PLEASANT GROVE,84062-3722,2
357523193869,193331265549,2018-01-31 22:59:42,2018-01-31 17:59:42-05:00,phantom_tee_vneck_l_burgundy2,The Phantom of the Opera - Women's V-Neck,34.00,1,The Phantom of the Opera,Women's V-Neck,0.00,0,fulfilled,False,150,True,151548955,false,True,phantom_tee_vneck,[],True,25506907265,,Litographs,,,False,0.00,paid,,0,United States,Arkansas,Fort Smith,72903,2
357517656077,193328447501,2018-01-31 22:57:22,2018-01-31 17:57:22-05:00,custom_scarf_inf_sans_orange_CID1517439362724494,Custom Scarf - Infinity / Single Scarf,49.00,1,Custom Scarf,Infinity / Single Scarf,0.00,0,fulfilled,False,150,True,8288574337,false,True,custom_scarf_inf,[],True,27773941953,,Litographs,,,False,0.00,paid,,0,United States,New Mexico,Albuquerque,87106,1
357499109389,193318256653,2018-01-31 22:47:46,2018-01-31 17:47:46-05:00,invisible_tee_unisex_l_navyblue1,The Invisible Man - Unisex,34.00,1,The Invisible Man,Unisex,0.00,0,fulfilled,False,150,True,151547911,false,True,invisible_tee_unisex,"[{'title': 'MA State Tax', 'price': '0.00', 'rate': 0.0625, 'price_set': {'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}}]",True,25506631617,,Litographs,,,False,0.00,paid,,0,United States,Massachusetts,Easthampton,01027,1
357288804365,193210417165,2018-01-31 21:17:49,2018-01-31 16:17:49-05:00,pulp1_18x24_bw,Pulp Fiction - 18x24,24.00,1,Pulp Fiction,18x24,0.00,0,fulfilled,False,227,True,3618291777,false,True,pulp1_18x24,[],True,25510988353,,Litographs,,,False,0.00,paid,,0,Finland,,Espoo,02360,1
357288837133,193210417165,2018-01-31 21:17:49,2018-01-31 16:17:49-05:00,kamasutra_18x24_bw,The Kama Sutra - 18x24,24.00,1,The Kama Sutra,18x24,0.00,0,fulfilled,False,227,True,105188089,false,True,kamasutra_18x24,[],True,25511761345,,Litographs,,,False,0.00,paid,,0,Finland,,Espoo,02360,1
357210587149,193169850381,2018-01-31 20:45:44,2018-01-31 15:45:44-05:00,custom_scarf_inf_serif_green3_CID1517431123804467,Custom Scarf - Infinity / Single Scarf,49.00,1,Custom Scarf,Infinity / Single Scarf,0.00,0,fulfilled,False,150,True,8288574337,false,True,custom_scarf_inf,[],True,27773941953,,Litographs,,,False,0.00,paid,,0,Germany,,Berlin,10435,1
357198135309,193163362317,2018-01-31 20:40:39,2018-01-31 15:40:39-05:00,custom_scarf_inf_serif_navyblue_CID1517430928788289,Custom Scarf - Infinity / Single Scarf,49.00,1,Custom Scarf,Infinity / Single Scarf,0.00,0,fulfilled,False,150,True,8288574337,false,True,custom_scarf_inf,[],True,27773941953,,Litographs,,,False,0.00,paid,,0,United States,Texas,Houston,77005,1
357189648397,193158676493,2018-01-31 20:37:07,2018-01-31 15:37:07-05:00,crime_tee_unisex_l_brown,Crime and Punishment - Unisex,34.00,1,Crime and Punishment,Unisex,0.00,0,fulfilled,False,150,True,151523833,false,True,crime_tee_unisex,[],True,25504735233,,Litographs,,,False,0.00,paid,,0,United Kingdom,,stockport,SK4 1LX,1
357185912845,193156382733,2018-01-31 20:35:02,2018-01-31 15:35:02-05:00,littleprince_tee_unisex_m_green3,The Little Prince - Unisex,34.00,1,The Little Prince,Unisex,0.00,0,fulfilled,False,150,True,7168153537,true,True,littleprince_tee_unisex,[],True,25506773889,,Litographs,,default,False,0.00,paid,,10.20,United States,Pennsylvania,Pittsburgh,15213,1
357055135757,193089896461,2018-01-31 19:44:04,2018-01-31 14:44:04-05:00,gatsby_tee_unisex_m_bw,The Great Gatsby - Unisex,34.00,1,The Great Gatsby,Unisex,0.00,0,fulfilled,False,150,True,151547435,false,True,gatsby_tee_unisex,[],True,25506566401,,Litographs,,,False,0.00,paid,,0,United States,Minnesota,Woodbury,55125,2
357032591373,193078001677,2018-01-31 19:35:09,2018-01-31 14:35:09-05:00,sun_12x16_black,The Sun Also Rises - 12x16 Matted,19.00,1,The Sun Also Rises,12x16 Matted,0.00,0,fulfilled,False,227,True,417787605,false,True,sun_12x16,[],True,25511971009,,Litographs,,,False,0.00,paid,,0,United States,Texas,Dallas,75207,1
356998152205,193059323917,2018-01-31 19:20:38,2018-01-31 14:20:38-05:00,glass_24x36_lightblue1,Throne of Glass - 24x36,29.00,1,Throne of Glass,24x36,0.00,0,fulfilled,False,10886,True,809007105,false,True,glass_24x36,[],True,25512031041,,Litographs,,,False,0.00,paid,,0,United States,District of Columbia,Washington,20002,1
